order_id,customers_name,phone,email,city,state,product_name,brand_name,category_name,store_name,staffs_name,order_status,order_date,required_date,shipped_date,quantity,list_price,discount,total,month,cepat_kirim,on_time,discount_group,segmentasi_product
1,Johnathan Velazquez,No Number,johnathan.velazquez@hotmail.com,Pleasanton,CA,Electra Townie Original 7D EQ - Women's,Electra,Cruisers Bicycles,Santa Cruz Bikes,Mireya Copeland,4,2016-01-01,2016-01-03,2016-01-03,1,599.99,0.2,479.99,2016-01,2.0,True,High,mid
2,Jaqueline Cummings,No Number,jaqueline.cummings@hotmail.com,Huntington Station,NY,Electra Townie Original 7D EQ - Women's,Electra,Cruisers Bicycles,Baldwin Bikes,Marcelene Boyer,4,2016-01-01,2016-01-04,2016-01-03,1,599.99,0.07,557.99,2016-01,2.0,True,Medium,mid
3,Joshua Robertson,No Number,joshua.robertson@gmail.com,Patchogue,NY,Electra Townie Original 7D EQ - Women's,Electra,Cruisers Bicycles,Baldwin Bikes,Venita Daniel,4,2016-01-02,2016-01-05,2016-01-03,1,599.99,0.05,569.99,2016-01,1.0,True,Low,mid
6,Sharyn Hopkins,No Number,sharyn.hopkins@hotmail.com,Baldwinsville,NY,Electra Townie Original 7D EQ - Women's,Electra,Cruisers Bicycles,Baldwin Bikes,Marcelene Boyer,4,2016-01-04,2016-01-07,2016-01-05,1,599.99,0.1,539.99,2016-01,1.0,True,Medium,mid
8,Leslie Higgins,No Number,leslie.higgins@hotmail.com,Saratoga Springs,NY,Electra Townie Original 7D EQ - Women's,Electra,Cruisers Bicycles,Baldwin Bikes,Venita Daniel,4,2016-01-04,2016-01-05,2016-01-05,2,599.99,0.07,1115.98,2016-01,1.0,True,Medium,mid
13,Patience Clayton,No Number,patience.clayton@hotmail.com,Niagara Falls,NY,Electra Townie Original 7D EQ - Women's,Electra,Cruisers Bicycles,Baldwin Bikes,Marcelene Boyer,4,2016-01-08,2016-01-11,2016-01-11,2,599.99,0.1,1079.98,2016-01,3.0,True,Medium,mid
17,Sindy Anderson,No Number,sindy.anderson@gmail.com,Pomona,CA,Electra Townie Original 7D EQ - Women's,Electra,Cruisers Bicycles,Santa Cruz Bikes,Genna Serrano,4,2016-01-12,2016-01-14,2016-01-14,2,599.99,0.2,959.98,2016-01,2.0,True,High,mid
35,Neville Mcclain,No Number,neville.mcclain@yahoo.com,West Hempstead,NY,Electra Townie Original 7D EQ - Women's,Electra,Cruisers Bicycles,Baldwin Bikes,Venita Daniel,4,2016-01-22,2016-01-25,2016-01-24,2,599.99,0.05,1139.98,2016-01,2.0,True,Low,mid
51,Jamaal Baker,No Number,jamaal.baker@hotmail.com,Elmhurst,NY,Electra Townie Original 7D EQ - Women's,Electra,Cruisers Bicycles,Baldwin Bikes,Venita Daniel,4,2016-02-01,2016-02-02,2016-02-03,1,599.99,0.05,569.99,2016-02,2.0,False,Low,mid
56,Nathaniel Davidson,No Number,nathaniel.davidson@hotmail.com,Rome,NY,Electra Townie Original 7D EQ - Women's,Electra,Cruisers Bicycles,Baldwin Bikes,Marcelene Boyer,4,2016-02-04,2016-02-06,2016-02-07,2,599.99,0.07,1115.98,2016-02,3.0,False,Medium,mid
70,Cleotilde Booth,No Number,cleotilde.booth@gmail.com,Sugar Land,TX,Electra Townie Original 7D EQ - Women's,Electra,Cruisers Bicycles,Rowlett Bikes,Layla Terrell,3,2016-02-11,2016-02-11,,1,599.99,0.05,569.99,2016-02,,False,Low,mid
77,Rochelle Ward,No Number,rochelle.ward@yahoo.com,Glendora,CA,Electra Townie Original 7D EQ - Women's,Electra,Cruisers Bicycles,Santa Cruz Bikes,Mireya Copeland,4,2016-02-16,2016-02-19,2016-02-19,1,599.99,0.07,557.99,2016-02,3.0,True,Medium,mid
83,Gertrude Terry,No Number,gertrude.terry@hotmail.com,Upland,CA,Electra Townie Original 7D EQ - Women's,Electra,Cruisers Bicycles,Santa Cruz Bikes,Genna Serrano,4,2016-02-19,2016-02-20,2016-02-20,1,599.99,0.2,479.99,2016-02,1.0,True,High,mid
87,Rosa Kinney,No Number,rosa.kinney@yahoo.com,Brooklyn,NY,Electra Townie Original 7D EQ - Women's,Electra,Cruisers Bicycles,Baldwin Bikes,Marcelene Boyer,4,2016-02-21,2016-02-22,2016-02-23,2,599.99,0.2,959.98,2016-02,2.0,False,High,mid
95,Casey Gill,No Number,casey.gill@gmail.com,Port Washington,NY,Electra Townie Original 7D EQ - Women's,Electra,Cruisers Bicycles,Baldwin Bikes,Venita Daniel,4,2016-02-27,2016-02-29,2016-02-28,2,599.99,0.05,1139.98,2016-02,1.0,True,Low,mid
97,Alpha King,No Number,alpha.king@hotmail.com,Rockville Centre,NY,Electra Townie Original 7D EQ - Women's,Electra,Cruisers Bicycles,Baldwin Bikes,Venita Daniel,4,2016-02-28,2016-02-29,2016-03-01,2,599.99,0.2,959.98,2016-02,2.0,False,High,mid
127,Chelsey Boyd,No Number,chelsey.boyd@yahoo.com,Euless,TX,Electra Townie Original 7D EQ - Women's,Electra,Cruisers Bicycles,Rowlett Bikes,Kali Vargas,4,2016-03-17,2016-03-18,2016-03-19,1,599.99,0.1,539.99,2016-03,2.0,False,Medium,mid
